index,Лемма,Часть речи,Частота (ipm)
1,и,conj,35801.8
2,в,pr,31374.2
3,не,part,18028.0
4,на,pr,15867.3
5,я,spro,12684.4
6,быть,v,12160.7
7,он,spro,11791.1
8,с,pr,11311.9
9,что,conj,8354.0
10,а,conj,8198.0
11,по,pr,5786.7
12,это,spro,5707.8
13,она,spro,5592.4
14,этот,apro,5414.0
15,к,pr,5389.0
16,но,conj,5381.4
17,они,spro,4850.0
18,мы,spro,4704.8
19,как,conj,4403.7
20,из,pr,4314.1
21,у,pr,4306.1
22,который,apro,4209.0
23,то,spro,3964.4
24,за,pr,3904.1
25,свой,apro,3825.5
26,что,spro,3810.2
27,весь,apro,3786.3
28,год,s,3727.5
29,от,pr,3672.5
30,так,advpro,3440.4
31,о,pr,3407.1
32,для,pr,3229.3
33,ты,spro,3171.2
34,же,part,3144.3
35,все,spro,3106.8
36,тот,apro,2967.1
37,мочь,v,2912.3
38,вы,spro,2906.4
39,человек,s,2723.0
40,такой,apro,2696.8
41,его,apro,2577.9
42,сказать,v,2396.6
43,только,part,2391.7
44,или,conj,2345.0
45,еще,adv,2323.9
46,бы,part,2322.4
47,себя,spro,2272.8
48,один,apro,2245.7
49,как,advpro,2212.7
50,уже,adv,2179.2
51,до,pr,2061.1
52,время,s,2015.7
53,если,conj,1998.1
54,сам,apro,1986.3
55,когда,conj,1895.7
56,другой,apro,1837.3
57,вот,part,1785.1
58,говорить,v,1755.0
59,наш,apro,1731.8
60,мой,apro,1720.3
61,знать,v,1713.8
62,стать,v,1621.8
63,при,pr,1550.8
64,чтобы,conj,1479.7
65,дело,s,1412.1
66,жизнь,s,1389.8
67,кто,spro,1374.8
68,первый,anum,1345.6
69,очень,adv,1286.8
70,два,num,1285.1
71,день,s,1258.4
72,ее,apro,1219.2
73,новый,a,1217.5
74,рука,s,1200.6
75,даже,part,1179.8
76,во,pr,1167.8
77,со,pr,1151.3
78,раз,s,1131.8
79,где,advpro,1129.2
80,там,advpro,1128.1
81,под,pr,1126.0
82,можно,adv,1125.9
83,ну,part,1114.6
84,какой,apro,1091.7
85,после,pr,1080.1
86,их,apro,1076.0
87,работа,s,1058.3
88,без,pr,1018.8
89,самый,apro,1007.4
90,потом,advpro,1006.1
91,надо,adv,993.2
92,хотеть,v,991.3
93,ли,part,981.7
94,слово,s,967.9
95,идти,v,957.1
96,большой,a,944.4
97,должен,a,944.2
98,место,s,926.6
99,иметь,v,906.7
100,ничто,spro,902.8
101,то,conj,902.4
102,сейчас,advpro,897.3
103,тут,advpro,879.2
104,лицо,s,878.0
105,каждый,apro,875.9
106,друг,s,874.2
107,нет,adv,874.0
108,теперь,advpro,871.8
109,ни,part,858.2
110,глаз,s,857.6
111,тоже,adv,841.5
112,тогда,advpro,835.6
113,видеть,v,818.2
114,вопрос,s,805.8
115,через,pr,805.4
116,да,conj,801.0
117,здесь,advpro,796.8
118,дом,s,792.6
119,да,part,787.5
120,потому,advpro,769.3
121,сторона,s,768.3
122,какой-то,apro,762.6
123,думать,v,755.5
124,сделать,v,743.5
125,страна,s,725.7
126,жить,v,725.5
127,чем,conj,721.1
128,мир,s,714.7
129,об,pr,714.5
130,последний,a,712.6
131,случай,s,709.7
132,голова,s,709.4
133,более,adv,706.2
134,делать,v,701.1
135,что-то,spro,667.6
136,смотреть,v,667.2
137,ребенок,s,658.3
138,просто,part,656.5
139,конечно,adv,647.3
140,сила,s,645.8
141,российский,a,644.6
142,конец,s,634.7
143,перед,pr,626.7
144,несколько,num,623.7
145,вид,s,620.1
146,система,s,617.8
147,всегда,advpro,611.9
148,работать,v,611.2
149,между,pr,607.5
150,три,num,596.7
151,нет,part,589.2
152,понять,v,588.2
153,пойти,v,587.2
154,часть,s,585.4
155,спросить,v,573.9
156,город,s,573.4
157,дать,v,573.1
158,также,adv,569.9
159,никто,spro,562.2
160,понимать,v,559.7
161,получить,v,557.7
162,отношение,s,557.4
163,лишь,part,552.5
164,второй,anum,552.4
165,именно,part,551.4
166,ваш,apro,547.5
167,хотя,conj,546.9
168,ни,conj,543.5
169,сидеть,v,538.1
170,над,pr,537.0
171,женщина,s,533.3
172,оказаться,v,531.9
173,русский,a,530.5
174,один,anum,529.5
175,взять,v,525.8
176,прийти,v,523.3
177,являться,v,522.9
178,деньги,s,512.4
179,почему,advpro,507.2
180,вдруг,adv,503.2
181,любить,v,503.1
182,стоить,v,501.9
183,почти,adv,501.7
184,земля,s,494.4
185,общий,a,492.4
186,ведь,part,491.9
187,машина,s,490.4
188,однако,conj,487.1
189,сразу,adv,486.0
190,хорошо,adv,485.7
191,вода,s,484.8
192,отец,s,484.1
193,высокий,a,483.3
194,остаться,v,482.7
195,выйти,v,480.9
196,много,num,480.0
197,проблема,s,474.9
198,начать,v,473.3
199,хороший,a,471.4
200,час,s,468.1
201,это,part,466.7
202,сегодня,adv,463.5
203,право,s,461.4
204,совсем,adv,460.5
205,нога,s,459.2
206,считать,v,455.3
207,главный,a,454.6
208,решение,s,453.4
209,увидеть,v,452.4
210,дверь,s,450.8
211,казаться,v,448.2
212,образ,s,445.9
213,писать,v,444.3
214,история,s,443.9
215,лучший,a,443.2
216,власть,s,435.6
217,закон,s,433.4
218,все,advpro,433.3
219,война,s,425.9
220,бог,s,425.4
221,голос,s,424.5
222,найти,v,424.1
223,поэтому,advpro,421.3
224,стоять,v,419.3
225,вообще,adv,417.6
226,тысяча,s,416.0
227,больше,adv,415.3
228,вместе,adv,414.3
229,маленький,a,414.1
230,книга,s,413.9
231,некоторый,apro,410.9
232,решить,v,409.7
233,любой,apro,408.8
234,возможность,s,407.5
235,результат,s,403.1
236,ночь,s,402.8
237,стол,s,402.5
238,никогда,advpro,401.8
239,имя,s,401.7
240,область,s,400.2
241,молодой,a,400.0
242,пройти,v,398.4
243,например,adv,398.0
244,статья,s,395.0
245,оно,spro,394.7
246,число,s,393.5
247,компания,s,392.7
248,про,pr,392.1
249,государственный,a,391.3
250,полный,a,390.6
251,принять,v,386.9
252,народ,s,385.6
253,никакой,apro,383.7
254,советский,a,382.9
255,жена,s,376.8
256,настоящий,a,374.0
257,всякий,apro,373.2
258,группа,s,372.8
259,развитие,s,372.6
260,процесс,s,371.7
261,суд,s,371.1
262,давать,v,370.7
263,ответить,v,370.4
264,старый,a,368.5
265,условие,s,368.1
266,твой,apro,366.6
267,пока,conj,366.3
268,средство,s,363.9
269,помнить,v,363.1
270,начало,s,361.4
271,ждать,v,360.2
272,свет,s,359.7
273,пора,s,358.2
274,путь,s,357.3
275,душа,s,356.8
276,куда,advpro,355.4
277,нужно,adv,353.7
278,разный,a,352.6
279,нужный,a,351.9
280,уровень,s,348.5
281,иной,apro,348.3
282,форма,s,347.8
283,связь,s,346.1
284,уж,part,344.4
285,минута,s,344.2
286,кроме,pr,343.6
287,находиться,v,342.7
288,опять,adv,342.2
289,многий,apro,340.9
290,белый,a,339.6
291,собственный,a,338.3
292,улица,s,337.8
293,черный,a,337.5
294,написать,v,336.2
295,вечер,s,335.4
296,снова,adv,334.4
297,основной,a,334.1
298,качество,s,331.7
299,мысль,s,331.6
300,дорога,s,330.1
301,мать,s,330.1
302,действие,s,329.3
303,месяц,s,328.0
304,оставаться,v,327.4
305,государство,s,326.4
306,язык,s,324.9
307,любовь,s,323.9
308,взгляд,s,323.8
309,мама,s,322.6
310,играть,v,319.1
311,далекий,a,318.3
312,лежать,v,318.1
313,нельзя,adv,317.7
314,век,s,317.4
315,школа,s,316.0
316,подумать,v,315.6
317,уйти,v,315.6
318,цель,s,315.5
319,среди,pr,314.9
320,общество,s,314.7
321,посмотреть,v,314.2
322,деятельность,s,313.5
323,организация,s,312.4
324,кто-то,spro,312.0
325,вернуться,v,311.2
326,президент,s,311.0
327,комната,s,310.7
328,порядок,s,307.6
329,момент,s,306.8
330,театр,s,305.3
331,следовать,v,305.1
332,читать,v,304.4
333,письмо,s,304.3
334,подобный,a,301.6
335,следующий,a,301.4
336,утро,s,301.3
337,особенно,adv,300.3
338,помощь,s,300.1
339,ситуация,s,298.8
340,роль,s,297.9
341,бывать,v,297.3
342,ходить,v,296.6
343,рубль,s,296.4
344,начинать,v,296.0
345,появиться,v,294.6
346,смысл,s,294.6
347,состояние,s,294.4
348,называть,v,293.4
349,рядом,adv,291.8
350,квартира,s,290.9
351,назад,adv,290.7
352,равный,a,289.7
353,из-за,pr,289.6
354,орган,s,288.4
355,внимание,s,286.0
356,тело,s,285.9
357,труд,s,285.9
358,прийтись,v,285.5
359,хотеться,v,285.3
360,сын,s,285.1
361,мера,s,284.3
362,пять,num,284.3
